Time (s),SCL (V)
-6.961989830508475e-05,4.808117282100849
-6.959989830508475e-05,4.819207292183307
-6.957989830508474e-05,4.819207292183307
-6.955989830508475e-05,4.82660063223828
-6.953989830508475e-05,4.84508398237571
-6.951989830508475e-05,4.819207292183307
-6.949989830508474e-05,4.830297302265766
-6.947989830508475e-05,4.82660063223828
-6.945989830508475e-05,4.819207292183307
-6.943989830508475e-05,4.841387312348224
-6.941989830508474e-05,4.822903962210793
-6.939989830508475e-05,4.830297302265766
-6.937989830508475e-05,4.856173992458169
-6.935989830508475e-05,4.811813952128334
-6.933989830508474e-05,4.837690642320738
-6.931989830508474e-05,4.867264002540628
-6.929989830508475e-05,4.822903962210793
-6.927989830508475e-05,4.833993972293252
-6.925989830508475e-05,4.84508398237571
-6.923989830508474e-05,4.819207292183307
-6.921989830508475e-05,4.84508398237571
-6.919989830508475e-05,4.82660063223828
-6.917989830508475e-05,4.833993972293252
-6.915989830508474e-05,4.856173992458169
-6.913989830508475e-05,4.830297302265766
-6.911989830508475e-05,4.848780652403197
-6.909989830508475e-05,4.84508398237571
-6.907989830508474e-05,4.822903962210793
-6.905989830508475e-05,4.848780652403197
-6.903989830508475e-05,4.863567332513141
-6.901989830508475e-05,4.833993972293252
-6.899989830508474e-05,4.859870662485656
-6.897989830508474e-05,4.830297302265766
-6.895989830508475e-05,4.852477322430683
-6.893989830508475e-05,4.867264002540628
-6.891989830508475e-05,4.822903962210793
-6.889989830508474e-05,4.830297302265766
-6.887989830508475e-05,4.856173992458169
-6.885989830508475e-05,4.830297302265766
-6.883989830508475e-05,4.84508398237571
-6.881989830508474e-05,4.856173992458169
-6.879989830508475e-05,4.833993972293252
-6.877989830508475e-05,4.837690642320738
-6.875989830508475e-05,4.856173992458169
-6.873989830508474e-05,4.837690642320738
-6.871989830508475e-05,4.856173992458169
-6.869989830508475e-05,4.837690642320738
-6.867989830508475e-05,4.852477322430683
-6.865989830508474e-05,4.856173992458169
-6.863989830508474e-05,4.833993972293252
-6.861989830508475e-05,4.841387312348224
